,Dim1,Dim2,label
0,108.9713134765625,-32.091182708740234,1.0
1,-66.74523162841797,-60.13529586791992,0.0
2,80.76783752441406,31.042985916137695,1.0
3,-51.938011169433594,58.742218017578125,4.0
4,-74.87744140625,-69.27690887451172,0.0
5,-40.24198532104492,-48.860538482666016,0.0
6,4.458408355712891,100.65470123291016,7.0
7,11.268051147460938,0.5062863826751709,3.0
8,27.840349197387695,-50.85135269165039,5.0
9,-11.575299263000488,-20.549345016479492,3.0
10,69.5228271484375,-28.026762008666992,8.0
11,39.60730743408203,53.37850570678711,9.0
12,72.54657745361328,10.908110618591309,1.0
13,-10.85365104675293,3.9860267639160156,3.0
14,1.4242914915084839,-60.67751693725586,3.0
15,103.19937133789062,9.407430648803711,1.0
16,-24.333892822265625,-6.367533206939697,2.0
17,-36.75153350830078,-69.149658203125,0.0
18,38.473594665527344,93.18690490722656,7.0
19,-20.614559173583984,-31.024675369262695,5.0
20,59.98944091796875,-36.976585388183594,8.0
21,-115.8739013671875,-28.74845314025879,6.0
22,-29.73497772216797,-9.648508071899414,2.0
23,-77.79508972167969,-69.74785614013672,0.0
24,-22.874523162841797,9.205719947814941,2.0
25,11.438305854797363,-76.59231567382812,3.0
26,-97.60240936279297,17.995121002197266,6.0
27,44.29928207397461,54.997589111328125,9.0
28,16.287704467773438,57.480716705322266,9.0
29,2.9607443809509277,110.08826446533203,7.0
30,62.76426696777344,-40.46743392944336,8.0
31,-32.942901611328125,73.12096405029297,9.0
32,12.091285705566406,42.103233337402344,4.0
33,19.785795211791992,58.223968505859375,9.0
34,42.65900421142578,22.924789428710938,2.0
35,69.50081634521484,37.67036819458008,1.0
36,18.79474449157715,-19.394771575927734,3.0
37,82.3161392211914,-0.8846688866615295,1.0
38,93.63877868652344,-11.721161842346191,1.0
39,-4.818004608154297,36.483768463134766,4.0
40,16.472854614257812,-29.818389892578125,9.0
41,82.28952026367188,28.528043746948242,1.0
42,-12.451354026794434,49.6323127746582,4.0
43,-21.06813621520996,33.83134460449219,4.0
44,-39.463645935058594,21.5932674407959,2.0
45,-122.11582946777344,-15.681157112121582,6.0
46,20.48713493347168,-17.93894386291504,3.0
47,0.3362790048122406,106.13423919677734,7.0
48,56.88383865356445,89.31733703613281,7.0
49,-1.6254526376724243,40.42272186279297,4.0
50,-5.9748148918151855,97.06266021728516,7.0
51,-20.567731857299805,-30.52090072631836,5.0
52,74.43931579589844,15.410826683044434,1.0
53,-43.282745361328125,74.640380859375,9.0
54,-57.14139175415039,-69.93055725097656,0.0
55,67.05270385742188,5.040596961975098,2.0
56,-39.48431396484375,17.74528694152832,2.0
57,10.207747459411621,-66.6998062133789,3.0
58,50.40756607055664,92.22537994384766,9.0
59,88.61897277832031,5.626013278961182,1.0
60,-83.37252044677734,21.57870101928711,1.0
61,115.76048278808594,-27.42184066772461,1.0
62,73.60626983642578,-68.35564422607422,5.0
63,-63.67810821533203,-87.26066589355469,0.0
64,-110.50504302978516,5.424564838409424,6.0
65,-0.8176934123039246,-30.57050132751465,3.0
66,-36.371829986572266,63.535926818847656,4.0
67,3.6292552947998047,5.207834243774414,8.0
68,89.45803833007812,-9.34544563293457,1.0
69,-51.44647979736328,-41.699798583984375,0.0
70,-0.5432144403457642,-57.67739486694336,3.0
71,-1.8972886800765991,66.5999755859375,9.0
72,-87.38435363769531,14.531352996826172,6.0
73,7.248377799987793,-85.24368286132812,2.0
74,-95.85234832763672,-30.114513397216797,6.0
75,13.46977424621582,40.30221176147461,4.0
76,6.8551506996154785,60.126319885253906,7.0
77,71.70907592773438,2.882382869720459,1.0
78,-10.953362464904785,52.60039520263672,4.0
79,99.46611022949219,0.9447255730628967,1.0
80,67.96680450439453,-72.33478546142578,5.0
81,-11.155440330505371,30.515710830688477,4.0
82,61.04790496826172,-37.291683197021484,8.0
83,11.07374095916748,60.77190399169922,9.0
84,-36.842105865478516,-14.991107940673828,2.0
85,-11.373693466186523,63.824398040771484,9.0
86,28.94767951965332,89.55291748046875,9.0
87,16.805160522460938,-2.9626708030700684,8.0
88,3.333944797515869,91.53376007080078,9.0
89,-61.4005241394043,6.935621738433838,6.0
90,-0.8081398010253906,-8.143869400024414,3.0
91,-120.74882507324219,-17.911054611206055,6.0
92,-19.38892936706543,52.39596939086914,4.0
93,-76.81401062011719,-7.740917205810547,6.0
94,-30.273351669311523,16.33855628967285,2.0
95,42.748233795166016,99.81676483154297,9.0
96,99.17364501953125,11.410057067871094,1.0
97,-36.71799850463867,-0.5699171423912048,2.0
98,-59.00034713745117,-86.31564331054688,0.0
99,20.925203323364258,-64.67862701416016,5.0
100,22.467063903808594,68.8428726196289,9.0
101,-48.11021423339844,1.1938334703445435,2.0
102,52.32917404174805,94.87495422363281,7.0
103,1.4960085153579712,100.4106674194336,7.0
104,-25.510663986206055,-82.2060317993164,2.0
105,62.61532211303711,-35.951454162597656,8.0
106,61.4306526184082,-17.09847068786621,8.0
107,-18.896331787109375,-30.04875946044922,5.0
108,-52.06365966796875,-57.1572151184082,0.0
109,-117.72395324707031,-1.9774857759475708,6.0
110,-43.53068161010742,-92.20348358154297,0.0
111,-38.19119644165039,-50.71928024291992,0.0
112,-63.271522521972656,-1.2061479091644287,2.0
113,-41.33045196533203,75.60601043701172,9.0
114,-64.8483657836914,-80.24195861816406,0.0
115,-44.27371597290039,70.63988494873047,4.0
116,63.7936897277832,93.01097106933594,7.0
117,57.752464294433594,57.21326446533203,7.0
118,80.93734741210938,28.5235595703125,1.0
119,18.51903533935547,-38.60620880126953,5.0
120,4.002233982086182,116.98432159423828,7.0
121,60.62743377685547,85.66795349121094,9.0
122,6.183670520782471,41.11695098876953,4.0
123,-75.0921401977539,21.747251510620117,6.0
124,119.85142517089844,-19.246318817138672,1.0
125,-19.59122657775879,-56.913780212402344,5.0
126,36.22023391723633,71.0594253540039,7.0
127,-91.46752166748047,-8.342842102050781,6.0
128,48.317874908447266,-81.48224639892578,5.0
129,-61.3192024230957,-77.70756530761719,0.0
130,-43.424739837646484,50.99130630493164,4.0
131,29.455589294433594,-5.003245830535889,8.0
132,53.181644439697266,60.47865676879883,7.0
133,-49.57212829589844,-36.48258972167969,6.0
134,119.79768371582031,-10.534541130065918,1.0
135,78.91938781738281,-21.468294143676758,8.0
136,-6.4188079833984375,105.01858520507812,7.0
137,-8.177337646484375,-27.87615966796875,3.0
138,-8.4796724319458,127.2047119140625,7.0
139,-22.499521255493164,-13.278812408447266,3.0
140,81.7469711303711,26.61865997314453,1.0
141,-66.35777282714844,-86.78096771240234,0.0
142,0.6457096338272095,-33.122379302978516,3.0
143,45.53978729248047,-63.08192443847656,4.0
144,58.87993240356445,-71.68292999267578,5.0
145,12.510916709899902,36.4354248046875,4.0
146,-36.655479431152344,-53.45503616333008,0.0
147,64.99588012695312,-67.03302001953125,5.0
148,45.89533615112305,-63.48046112060547,4.0
149,-35.41365051269531,-81.329345703125,0.0
150,-6.774468421936035,-34.77255630493164,3.0
151,50.11264419555664,-72.84593200683594,5.0
152,117.57914733886719,-7.792088508605957,1.0
153,-50.16122817993164,-65.60631561279297,0.0
154,59.07292175292969,-17.072675704956055,8.0
155,3.776667356491089,-18.999000549316406,3.0
156,57.07954788208008,92.95246887207031,7.0
157,-37.288021087646484,-69.4836654663086,0.0
158,-14.331083297729492,99.83773803710938,9.0
159,-85.9208755493164,15.744940757751465,6.0
160,-86.97872161865234,-19.98966407775879,6.0
161,10.661064147949219,59.20637512207031,9.0
162,67.08586883544922,-72.11876678466797,5.0
163,-1.5486356019973755,51.70452117919922,4.0
164,-92.25920104980469,-31.048168182373047,6.0
165,8.585115432739258,65.997802734375,9.0
166,20.6292781829834,-26.909317016601562,3.0
167,21.730457305908203,-38.965518951416016,5.0
168,-49.646236419677734,58.1986083984375,4.0
169,-14.264476776123047,-72.89056396484375,2.0
170,28.305265426635742,36.98603057861328,4.0
171,39.52716064453125,-10.636223793029785,8.0
172,60.23554611206055,57.23495864868164,7.0
173,5.6034417152404785,75.10479736328125,7.0
174,52.47807312011719,-73.30064392089844,5.0
175,-45.395137786865234,76.18074035644531,8.0
176,-1.140899419784546,0.5846730470657349,8.0
177,54.88037872314453,-33.4027214050293,8.0
178,-54.396995544433594,-8.737014770507812,2.0
